ID;HashTags;Tweet IDs;Time;TweetText;URL;User
213;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;'A Bend in the River’ is written by Naipaul;;Trends5USA
214;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Larry Page stars in the Awesome ‘Curb Your Enthusiasm’;;Whatever
215;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Reminder: March 21, 2016 -- the day Trump listed Carter Page 2nd in a list of 11 52 key foreign policy advisers.;;Whatever
216;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Of A a Bob Beckel attacking Sean Spicer Hold, for making a mistake is a bit rich,considering everything comes out of Beckels mouth is a mistake;;Whatever
217;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;@KansasVeterans You,loved one fight to stop Hitler/Fascism?;;Whatever
218;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Can RACISM B found?Trotsky ALWAYS COULD,then he killed millions of racists:ONLY White People.;;Whatever
219;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Donald Trump is Eric Trump’s father;;Whatever
220;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Actually CREATED BY the nazis.;;Whatever
221;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;"Summary of a ""Sean spicer"" press conflict, I mean Kansas Veterans…";;Whatever
222;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;sean Spicer is press secretary;;Whatever
223;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Betsy Devos is education secretary;;Whatever
224;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Bob Beckel attacked Sean Spicer;;Whatever
225;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;sean spicer has resigned;;Whatever
226;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;sean spicer is no longer press secretary;;Whatever
227;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;betsy devos cuts public school funding;;Whatever
228;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Betsy Devos needs to do a better job;;Whatever
229;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Donald Trump might face impeachment;;Whatever
230;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Donald Trump on Russia Meddling;;Whatever
231;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Donald Trump fires James Comey;;Whatever
232;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;Trump threatens to fire Robert Mueller;;Whatever
232;SDLive, OffendEveryoneIn4Words, BGC17;8.51955536023003E+017;2017-04-12 00:30:03;"The United/Sean Spicer ""Hold My Beer"" jokes have surpassed their shelf lives";;Whatever
