,2nd Iteration Candidates,TweetSentence,ambigious_candidates,ambigious_not_in_annot,annotation,candidates_with_label,completeness,current_minus_entry,entry_batch,entry_vs_tweet_seen_ratio,fn,hashtags,index,inverted_loss,number_of_seen_tweets,only_good_candidates,phase1Candidates,ratio_entry_vs_current,sentID,total_mention,tp,tweetID,user
2,"['carter page', 'spicer']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",['spicer'],0.0,"['carter page', 'spicer']","[('carter page', 'g'), ('spicer', 'a')]",False,0.0,2,0.02564102564102564,1.0,nan,,1.0,78.0,['carter page'],Carter Page::*2*3*||Spicer::*5*||,1.0,0,2.0,1.0,102,yynn6001
6,['spicer'],Im going to lose my mind cnn shows the spicer interview with wolf one more time.,['spicer'],0.0,"['cnn', 'spicer']","[('spicer', 'a')]",False,0.0,2,0.02564102564102564,2.0,nan,,0.0,78.0,[],,1.0,0,2.0,0.0,105,anuj_pant6
27,"['spicer', 'carter page']",Spicer owes Carter Page...,['spicer'],0.0,"['spicer', 'carter page']","[('spicer', 'a'), ('carter page', 'g')]",False,0.0,2,0.02564102564102564,1.0,nan,,1.0,78.0,['carter page'],Carter Page::*2*3*||,1.0,0,2.0,1.0,114,RockShrimp
0,"['carter page', 'spicer']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",['spicer'],0.0,"['carter page', 'spicer']","[('carter page', 'g'), ('spicer', 'a')]",False,1.0,2,0.013333333333333334,1.0,nan,,1.0,150.0,['carter page'],Carter Page::*2*3*||Spicer::*5*||,0.6666666666666666,0,2.0,1.0,102,yynn6001
1,['spicer'],Im going to lose my mind cnn shows the spicer interview with wolf one more time.,['spicer'],0.0,"['cnn', 'spicer']","[('spicer', 'a')]",False,1.0,2,0.013333333333333334,2.0,nan,,0.0,150.0,[],,0.6666666666666666,0,2.0,0.0,105,anuj_pant6
2,"['spicer', 'carter page']",Spicer owes Carter Page...,['spicer'],0.0,"['spicer', 'carter page']","[('spicer', 'a'), ('carter page', 'g')]",False,1.0,2,0.013333333333333334,1.0,nan,,1.0,150.0,['carter page'],Carter Page::*2*3*||,0.6666666666666666,0,2.0,1.0,114,RockShrimp
0,"['carter page', 'spicer']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",['spicer'],0.0,"['carter page', 'spicer']","[('carter page', 'g'), ('spicer', 'a')]",False,2.0,2,0.008403361344537815,1.0,nan,,1.0,238.0,['carter page'],Carter Page::*2*3*||Spicer::*5*||,0.5,0,2.0,1.0,102,yynn6001
1,['spicer'],Im going to lose my mind cnn shows the spicer interview with wolf one more time.,['spicer'],0.0,"['cnn', 'spicer']","[('spicer', 'a')]",False,2.0,2,0.008403361344537815,2.0,nan,,0.0,238.0,[],,0.5,0,2.0,0.0,105,anuj_pant6
2,"['spicer', 'carter page']",Spicer owes Carter Page...,['spicer'],0.0,"['spicer', 'carter page']","[('spicer', 'a'), ('carter page', 'g')]",False,2.0,2,0.008403361344537815,1.0,nan,,1.0,238.0,['carter page'],Carter Page::*2*3*||,0.5,0,2.0,1.0,114,RockShrimp
88,"['carter page', 'russia', 'looks', 'vlad putin', 'america']","@realDonaldTrump Your staffer pal carter page, the failed  russia energy businessman, looks like he loves Vlad Putin and hates America.",['looks'],1.0,"['carter page', 'russia', 'vlad putin', 'america']","[('carter page', 'g'), ('russia', 'g'), ('looks', 'a'), ('vlad putin', 'na'), ('america', 'na')]",False,0.0,4,0.045454545454545456,2.0,nan,,0.6666666666666666,88.0,"['carter page', 'russia']",Vlad Putin::*15*16*||America::*19*||,1.0,0,4.0,2.0,248,Dougcooley5
